event_id,device_id,timestamp,temperature,humidity,battery,status,source
evt_20260516_124504191697,sensor_aula_01,2026-05-16T12:45:04,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124507216452,sensor_aula_01,2026-05-16T12:45:07,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124510240903,sensor_aula_01,2026-05-16T12:45:10,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124513265105,sensor_aula_01,2026-05-16T12:45:13,21.60,25.00,100.00,OK,arduino_serial
evt_20260516_124516289956,sensor_aula_01,2026-05-16T12:45:16,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124519314113,sensor_aula_01,2026-05-16T12:45:19,21.60,25.00,100.00,OK,arduino_serial
evt_20260516_124522338743,sensor_aula_01,2026-05-16T12:45:22,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124525364165,sensor_aula_01,2026-05-16T12:45:25,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124528388729,sensor_aula_01,2026-05-16T12:45:28,21.60,25.00,100.00,OK,arduino_serial
evt_20260516_124531412851,sensor_aula_01,2026-05-16T12:45:31,21.60,25.00,100.00,OK,arduino_serial
evt_20260516_124534437430,sensor_aula_01,2026-05-16T12:45:34,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124537461838,sensor_aula_01,2026-05-16T12:45:37,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124540487227,sensor_aula_01,2026-05-16T12:45:40,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124543511004,sensor_aula_01,2026-05-16T12:45:43,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124546536180,sensor_aula_01,2026-05-16T12:45:46,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124549559785,sensor_aula_01,2026-05-16T12:45:49,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124552584744,sensor_aula_01,2026-05-16T12:45:52,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124555609187,sensor_aula_01,2026-05-16T12:45:55,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124558633410,sensor_aula_01,2026-05-16T12:45:58,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124601658275,sensor_aula_01,2026-05-16T12:46:01,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124604683988,sensor_aula_01,2026-05-16T12:46:04,21.60,25.00,100.00,OK,arduino_serial
evt_20260516_124607707749,sensor_aula_01,2026-05-16T12:46:07,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124610731777,sensor_aula_01,2026-05-16T12:46:10,21.60,25.00,100.00,OK,arduino_serial
evt_20260516_124613756118,sensor_aula_01,2026-05-16T12:46:13,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124616781001,sensor_aula_01,2026-05-16T12:46:16,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124619805692,sensor_aula_01,2026-05-16T12:46:19,21.60,25.00,100.00,OK,arduino_serial
evt_20260516_124622829647,sensor_aula_01,2026-05-16T12:46:22,21.50,25.00,100.00,OK,arduino_serial
evt_20260516_124625854346,sensor_aula_01,2026-05-16T12:46:25,21.50,25.00,100.00,OK,arduino_serial
